[2026-02-06 21:55:19.820] [Info       ] [线程 16:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=236 delta[notify=0, winEvent=0, setProp=1, selChanged=26, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:20.820] [Info       ] [线程 16:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=266 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:21.820] [Info       ] [线程 18:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=293 delta[notify=0, winEvent=0, setProp=1, selChanged=27, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:22.820] [Info       ] [线程 19:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=323 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:23.820] [Info       ] [线程 19:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=ListViewKeyDown Down delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:24.820] [Info       ] [线程 16:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=377 delta[notify=0, winEvent=0, setProp=1, selChanged=24, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:25.820] [Info       ] [线程 17:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=407 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:26.820] [Info       ] [线程 10:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=437 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:27.820] [Info       ] [线程 19:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=459 delta[notify=0, winEvent=0, setProp=1, selChanged=22, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:28.820] [Info       ] [线程 20:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=490 delta[notify=0, winEvent=0, setProp=0, selChanged=31, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:29.820] [Info       ] [线程 14:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=520 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:30.821] [Info       ] [线程 20:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=550 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
